Do you feel mentally exhausted at work?,"After a day at work, do you find it hard to recover your energy?",Do you find that everything you do at work requires much effort?,Do you feel physically exhausted at work?,"When you get up in the morning, do you lack the energy to start a new day at work?",Do you want to be active at work but find it difficult to manage?,Do you quickly get tired when exerting yourself at work?,Do you feel mentally exhausted and drained at the end of your workday?,Do you struggle to find enthusiasm for your work?,Do you feel indifferent about your job?,Are you cynical about the impact your work has on others?,Do you have trouble staying focused at work?,Do you struggle to think clearly at work?,Are you forgetful and easily distracted at work?,Do you have trouble concentrating while working?,Do you make mistakes at work because your mind is on other things?,Do you feel unable to control your emotions at work?,Do you feel you no longer recognize yourself in your emotional reactions at work?,Do you become irritable when things don't go your way at work?,Do you feel sad or upset at work without knowing why?,Classification
Good focus,Patient,Forgetful,Quick to anger,Patient,Indifferent,Challenging but good,Mostly engaged,Self-aware,Not motivated,Drained,Sharp memory,Drained,No energy at all,Good focus,Invested,I recharge through entertainment,Low mood,Forgetful,Quick to anger,Needs Monitoring
Emotionally stable,Indifferent,Focused,Always distracted,Self-aware,Self-aware,Quick to anger,Quick to anger,Forgetful,I recharge through entertainment,Good focus,Positive outlook,Mostly engaged,Always distracted,Challenging but good,Easily distracted,Always distracted,Invested,Forgetful,Always distracted,Needs Monitoring
Loses focus,Loses focus,Foggy mind,Foggy mind,Low mood,Clear-minded,Focused,Always distracted,Mostly engaged,Few mistakes,Enthusiastic,Ready to go,I recharge through entertainment,Invested,No energy at all,Focused,Focused,Low mood,Invested,Refreshed,Needs Monitoring
Good stamina,Easily distracted,Drained,No energy at all,I recharge through entertainment,Low mood,In good physical condition,Mostly engaged,Always distracted,No energy at all,Few mistakes,Challenging but good,Self-aware,Focused,Refreshed,Good focus,Sharp memory,Enthusiastic,Quick to anger,Not motivated,Needs Monitoring
Quick to anger,Foggy mind,Ready to go,Good stamina,Not motivated,Loses focus,Not motivated,Invested,Enthusiastic,Not motivated,Indifferent,Sharp memory,Positive outlook,Few mistakes,Few mistakes,Clear-minded,Foggy mind,Sharp memory,Indifferent,Always distracted,Needs Monitoring
Quick to anger,Good focus,Focused,Easily distracted,Self-aware,Drained,Always distracted,Clear-minded,Low mood,Foggy mind,Foggy mind,In good physical condition,Easily distracted,Sharp memory,Emotionally stable,Ready to go,Enthusiastic,Easily distracted,Few mistakes,Quick to anger,Needs Monitoring
Sharp memory,Not motivated,Good stamina,Self-aware,Sharp memory,Self-aware,Ready to go,In good physical condition,Few mistakes,Not motivated,I recharge through entertainment,Ready to go,Easily distracted,Loses focus,Not motivated,Ready to go,Forgetful,Few mistakes,Always distracted,Loses focus,Needs Monitoring
Mostly engaged,Loses focus,Indifferent,Good stamina,Invested,Emotionally stable,Refreshed,Drained,Always distracted,Quick to anger,Good focus,Forgetful,Low mood,Patient,Easily distracted,Indifferent,Emotionally stable,Refreshed,Quick to anger,Clear-minded,Needs Monitoring
Clear-minded,Low mood,Always distracted,Invested,Clear-minded,Easily distracted,Mostly engaged,Quick to anger,Foggy mind,No energy at all,Emotionally stable,Clear-minded,In good physical condition,Self-aware,I recharge through entertainment,Ready to go,Refreshed,Good focus,Always distracted,Drained,Needs Monitoring
Enthusiastic,Loses focus,Emotionally stable,Low mood,No energy at all,Loses focus,Good stamina,Invested,Low mood,Indifferent,Focused,Good focus,Good stamina,Drained,Drained,Sharp memory,Few mistakes,Drained,Drained,Good stamina,Needs Monitoring
Drained,Not motivated,Foggy mind,Few mistakes,Enthusiastic,Good stamina,Clear-minded,Sharp memory,Self-aware,Refreshed,Drained,Quick to anger,Invested,Patient,Forgetful,Ready to go,Sharp memory,Easily distracted,Easily distracted,Loses focus,Needs Monitoring
Emotionally stable,Drained,Easily distracted,Self-aware,Low mood,Sharp memory,I recharge through entertainment,Always distracted,In good physical condition,Refreshed,Challenging but good,Forgetful,Not motivated,No energy at all,Indifferent,Good focus,Few mistakes,Challenging but good,Enthusiastic,Good focus,Needs Monitoring
Low mood,Self-aware,Focused,Always distracted,Invested,Indifferent,Always distracted,Low mood,Good focus,Easily distracted,Mostly engaged,Foggy mind,In good physical condition,Always distracted,Self-aware,Focused,Forgetful,Sharp memory,No energy at all,Self-aware,Needs Monitoring
Ready to go,Enthusiastic,Foggy mind,Positive outlook,Low mood,Good focus,Challenging but good,Not motivated,Not motivated,Always distracted,Invested,Positive outlook,Good stamina,Good focus,No energy at all,Foggy mind,No energy at all,Quick to anger,Refreshed,Loses focus,Needs Monitoring
Mostly engaged,Enthusiastic,Always distracted,Loses focus,Always distracted,In good physical condition,Easily distracted,Not motivated,Few mistakes,Positive outlook,Positive outlook,Enthusiastic,Good focus,Ready to go,Loses focus,Drained,Indifferent,Sharp memory,Not motivated,In good physical condition,Needs Monitoring
Focused,Mostly engaged,Invested,Sharp memory,I recharge through entertainment,Emotionally stable,Foggy mind,Drained,No energy at all,Clear-minded,Mostly engaged,Always distracted,Good focus,Forgetful,Always distracted,Indifferent,Invested,Enthusiastic,Indifferent,Few mistakes,Needs Monitoring
Forgetful,Clear-minded,Focused,Good focus,No energy at all,Refreshed,Indifferent,Loses focus,Few mistakes,Self-aware,Indifferent,No energy at all,Quick to anger,Forgetful,Indifferent,Focused,Invested,Self-aware,Good focus,In good physical condition,Needs Monitoring
Not motivated,Mostly engaged,Indifferent,Challenging but good,Patient,Forgetful,Patient,Low mood,In good physical condition,Refreshed,Self-aware,Patient,Sharp memory,Not motivated,Good focus,No energy at all,Clear-minded,Indifferent,Emotionally stable,Always distracted,Needs Monitoring
Drained,Foggy mind,Patient,Refreshed,Patient,Challenging but good,Low mood,Good focus,Always distracted,Refreshed,Few mistakes,Patient,Low mood,Challenging but good,Sharp memory,Emotionally stable,No energy at all,Forgetful,Invested,Always distracted,Needs Monitoring
Not motivated,Patient,Forgetful,Self-aware,Challenging but good,Easily distracted,Mostly engaged,Drained,Loses focus,Mostly engaged,Easily distracted,Emotionally stable,Focused,Mostly engaged,Low mood,Few mistakes,Loses focus,Ready to go,Forgetful,Indifferent,Needs Monitoring
Emotionally stable,Patient,Emotionally stable,Ready to go,Not motivated,Drained,Self-aware,Patient,No energy at all,Few mistakes,Quick to anger,Indifferent,Enthusiastic,Mostly engaged,Loses focus,Easily distracted,In good physical condition,I recharge through entertainment,Emotionally stable,Drained,Needs Monitoring
Enthusiastic,Foggy mind,No energy at all,Low mood,Quick to anger,I recharge through entertainment,Focused,Good stamina,Quick to anger,Sharp memory,Indifferent,Always distracted,Loses focus,Good focus,Refreshed,I recharge through entertainment,Challenging but good,Sharp memory,Quick to anger,Easily distracted,Needs Monitoring
Few mistakes,Foggy mind,Self-aware,Foggy mind,Focused,Always distracted,I recharge through entertainment,Forgetful,I recharge through entertainment,Easily distracted,Good focus,Indifferent,Ready to go,Patient,Indifferent,Few mistakes,Forgetful,Mostly engaged,Good focus,In good physical condition,Needs Monitoring
Self-aware,Ready to go,Good focus,Foggy mind,Good focus,Low mood,Low mood,Positive outlook,Self-aware,Patient,Drained,Focused,Mostly engaged,Few mistakes,In good physical condition,No energy at all,Indifferent,Not motivated,Self-aware,Indifferent,Needs Monitoring
Focused,Challenging but good,Challenging but good,Enthusiastic,Indifferent,Indifferent,Loses focus,No energy at all,Always distracted,Ready to go,Emotionally stable,Forgetful,Positive outlook,Clear-minded,Easily distracted,Quick to anger,Good focus,Few mistakes,Self-aware,I recharge through entertainment,Needs Monitoring
Good focus,Positive outlook,I recharge through entertainment,No energy at all,Not motivated,Patient,Few mistakes,Always distracted,Emotionally stable,Foggy mind,Forgetful,Easily distracted,Low mood,Forgetful,In good physical condition,Clear-minded,Loses focus,Low mood,Few mistakes,Refreshed,Needs Monitoring
Indifferent,Enthusiastic,Enthusiastic,Not motivated,Quick to anger,Low mood,Challenging but good,Forgetful,Challenging but good,I recharge through entertainment,Drained,Sharp memory,I recharge through entertainment,Invested,Forgetful,Challenging but good,Good stamina,Mostly engaged,No energy at all,No energy at all,Needs Monitoring
Refreshed,Drained,Not motivated,Self-aware,Challenging but good,Quick to anger,Foggy mind,Not motivated,Drained,Invested,Positive outlook,I recharge through entertainment,Clear-minded,Foggy mind,Emotionally stable,Self-aware,Foggy mind,Challenging but good,Refreshed,In good physical condition,Needs Monitoring
Self-aware,Not motivated,Good stamina,Drained,Always distracted,Sharp memory,Low mood,Not motivated,Loses focus,Focused,Indifferent,Forgetful,Refreshed,Refreshed,Always distracted,Emotionally stable,No energy at all,I recharge through entertainment,Patient,Self-aware,Needs Monitoring
Not motivated,Forgetful,I recharge through entertainment,Always distracted,I recharge through entertainment,Not motivated,Emotionally stable,Self-aware,Ready to go,Invested,Mostly engaged,Refreshed,Always distracted,Easily distracted,No energy at all,Clear-minded,Drained,I recharge through entertainment,Ready to go,Emotionally stable,Needs Monitoring
In good physical condition,Few mistakes,Sharp memory,Forgetful,Quick to anger,In good physical condition,Easily distracted,Easily distracted,Refreshed,Few mistakes,Refreshed,Invested,Enthusiastic,No energy at all,Always distracted,Patient,Invested,Not motivated,Indifferent,Emotionally stable,Needs Monitoring
Quick to anger,Few mistakes,Always distracted,Patient,Patient,Challenging but good,Forgetful,Loses focus,Positive outlook,Clear-minded,No energy at all,Few mistakes,Always distracted,Clear-minded,Good stamina,Foggy mind,Indifferent,In good physical condition,Invested,Not motivated,Needs Monitoring
In good physical condition,Low mood,Clear-minded,Invested,Foggy mind,Patient,Mostly engaged,I recharge through entertainment,Low mood,Good focus,Loses focus,Focused,Drained,Foggy mind,Always distracted,Patient,Focused,Challenging but good,Easily distracted,Invested,Needs Monitoring
Easily distracted,Easily distracted,Refreshed,Few mistakes,Drained,Forgetful,In good physical condition,Good stamina,Positive outlook,Mostly engaged,Quick to anger,Enthusiastic,Invested,Easily distracted,Sharp memory,No energy at all,Loses focus,Positive outlook,Always distracted,I recharge through entertainment,Needs Monitoring
Enthusiastic,Ready to go,Clear-minded,Not motivated,Indifferent,No energy at all,Loses focus,Clear-minded,Good stamina,I recharge through entertainment,Challenging but good,In good physical condition,Indifferent,Patient,Always distracted,Self-aware,Good stamina,No energy at all,Always distracted,Good focus,Needs Monitoring
Positive outlook,Not motivated,Loses focus,Good stamina,Focused,Drained,Mostly engaged,Patient,Few mistakes,Forgetful,Invested,Foggy mind,No energy at all,Mostly engaged,Few mistakes,Always distracted,No energy at all,Clear-minded,Not motivated,Positive outlook,Needs Monitoring
No energy at all,Challenging but good,Few mistakes,Invested,Sharp memory,Not motivated,Foggy mind,Self-aware,No energy at all,Refreshed,Self-aware,Patient,Forgetful,Forgetful,Challenging but good,Ready to go,Foggy mind,Not motivated,Easily distracted,Clear-minded,Needs Monitoring
Mostly engaged,Patient,Drained,Always distracted,Not motivated,Enthusiastic,Low mood,Good focus,Loses focus,Patient,In good physical condition,Refreshed,Forgetful,Invested,Drained,Forgetful,Invested,Not motivated,Indifferent,Sharp memory,Needs Monitoring
Indifferent,Focused,Sharp memory,In good physical condition,Always distracted,Always distracted,Focused,Refreshed,Loses focus,Easily distracted,Foggy mind,Self-aware,Good focus,Refreshed,Enthusiastic,Forgetful,Refreshed,Always distracted,Patient,Focused,Needs Monitoring
Invested,In good physical condition,Foggy mind,Not motivated,Few mistakes,Positive outlook,Few mistakes,No energy at all,Easily distracted,Good stamina,Indifferent,Ready to go,Forgetful,No energy at all,Good focus,Always distracted,Focused,Easily distracted,Ready to go,Good focus,Needs Monitoring
Easily distracted,Focused,Forgetful,No energy at all,Positive outlook,Indifferent,Positive outlook,Easily distracted,Loses focus,Foggy mind,Mostly engaged,Good focus,Emotionally stable,Self-aware,Emotionally stable,Always distracted,Self-aware,Drained,Clear-minded,Ready to go,Needs Monitoring
Refreshed,In good physical condition,Invested,Self-aware,Mostly engaged,No energy at all,I recharge through entertainment,I recharge through entertainment,Good focus,Enthusiastic,Quick to anger,Foggy mind,Always distracted,Easily distracted,Always distracted,Indifferent,Easily distracted,Ready to go,Positive outlook,I recharge through entertainment,Needs Monitoring
Easily distracted,Low mood,Drained,In good physical condition,Quick to anger,Not motivated,Foggy mind,I recharge through entertainment,Few mistakes,Good focus,I recharge through entertainment,Positive outlook,Forgetful,No energy at all,Few mistakes,Challenging but good,Focused,Drained,Easily distracted,Challenging but good,Needs Monitoring
Quick to anger,Invested,No energy at all,Mostly engaged,Self-aware,No energy at all,I recharge through entertainment,In good physical condition,Forgetful,Not motivated,Drained,Emotionally stable,Few mistakes,Mostly engaged,Positive outlook,Foggy mind,Enthusiastic,Drained,Always distracted,Quick to anger,Needs Monitoring
Focused,Low mood,Positive outlook,No energy at all,Ready to go,Invested,Not motivated,Emotionally stable,Low mood,Ready to go,Always distracted,Sharp memory,Loses focus,Low mood,Quick to anger,Low mood,Indifferent,I recharge through entertainment,Good stamina,Focused,Needs Monitoring
Patient,Mostly engaged,Self-aware,Focused,Indifferent,Always distracted,In good physical condition,Clear-minded,Drained,Mostly engaged,No energy at all,Low mood,Emotionally stable,Enthusiastic,Not motivated,Indifferent,Emotionally stable,Loses focus,Few mistakes,Invested,Needs Monitoring
Refreshed,Low mood,Emotionally stable,Refreshed,Refreshed,Sharp memory,Quick to anger,Good stamina,Drained,Easily distracted,Forgetful,Self-aware,Quick to anger,Foggy mind,Sharp memory,Easily distracted,Positive outlook,No energy at all,Self-aware,Drained,Needs Monitoring
Loses focus,Always distracted,In good physical condition,Self-aware,I recharge through entertainment,Not motivated,Mostly engaged,Not motivated,Not motivated,Sharp memory,Quick to anger,Mostly engaged,Not motivated,Patient,Patient,No energy at all,Focused,Challenging but good,Self-aware,Self-aware,Needs Monitoring
Always distracted,Clear-minded,Always distracted,Challenging but good,Quick to anger,Good focus,Challenging but good,Low mood,In good physical condition,Challenging but good,I recharge through entertainment,Forgetful,Positive outlook,I recharge through entertainment,Challenging but good,Low mood,Not motivated,Loses focus,Self-aware,Forgetful,Needs Monitoring
Enthusiastic,Low mood,Drained,Refreshed,Always distracted,Clear-minded,Indifferent,Foggy mind,Loses focus,Low mood,Ready to go,Mostly engaged,In good physical condition,Mostly engaged,Self-aware,Mostly engaged,Easily distracted,Indifferent,Ready to go,Invested,Needs Monitoring
Sharp memory,In good physical condition,Good stamina,Challenging but good,Quick to anger,Good stamina,Ready to go,Foggy mind,Invested,Clear-minded,Easily distracted,Challenging but good,Low mood,Patient,Drained,Good stamina,Easily distracted,Always distracted,Easily distracted,Good focus,Needs Monitoring
Foggy mind,Always distracted,Foggy mind,Quick to anger,Few mistakes,Foggy mind,Sharp memory,Foggy mind,Sharp memory,No energy at all,Focused,In good physical condition,Challenging but good,In good physical condition,Clear-minded,Ready to go,Focused,Low mood,Few mistakes,Indifferent,Needs Monitoring
Patient,Loses focus,I recharge through entertainment,Ready to go,Forgetful,Low mood,Emotionally stable,Emotionally stable,Good stamina,Loses focus,Drained,Challenging but good,Sharp memory,Drained,Drained,Ready to go,I recharge through entertainment,Always distracted,Emotionally stable,I recharge through entertainment,Needs Monitoring
Not motivated,Good stamina,Mostly engaged,Invested,Always distracted,Good focus,Indifferent,Easily distracted,Loses focus,Mostly engaged,Mostly engaged,No energy at all,Ready to go,I recharge through entertainment,Forgetful,Foggy mind,Low mood,Emotionally stable,Mostly engaged,Mostly engaged,Needs Monitoring
Good stamina,No energy at all,Foggy mind,Quick to anger,Focused,Few mistakes,Good stamina,Challenging but good,Always distracted,Not motivated,Positive outlook,Easily distracted,Mostly engaged,Easily distracted,Invested,I recharge through entertainment,Invested,Focused,Quick to anger,Patient,Needs Monitoring
Positive outlook,Ready to go,Indifferent,Good focus,Self-aware,Ready to go,Focused,Forgetful,Sharp memory,Refreshed,Indifferent,Indifferent,Indifferent,Positive outlook,Self-aware,I recharge through entertainment,Quick to anger,Always distracted,Always distracted,In good physical condition,Needs Monitoring
No energy at all,Sharp memory,Always distracted,Foggy mind,Loses focus,Always distracted,Not motivated,Sharp memory,Mostly engaged,Sharp memory,Challenging but good,Always distracted,I recharge through entertainment,Quick to anger,No energy at all,Refreshed,Enthusiastic,Emotionally stable,Low mood,Sharp memory,Needs Monitoring
Mostly engaged,Good focus,Refreshed,Forgetful,Not motivated,Drained,Self-aware,Quick to anger,Invested,Focused,Few mistakes,Foggy mind,Challenging but good,No energy at all,Foggy mind,Indifferent,Good stamina,I recharge through entertainment,Foggy mind,No energy at all,Needs Monitoring
Loses focus,Positive outlook,Good focus,Drained,Focused,Foggy mind,Few mistakes,Not motivated,Enthusiastic,Ready to go,Emotionally stable,Low mood,Drained,Challenging but good,Quick to anger,Not motivated,Patient,Patient,Always distracted,Foggy mind,Needs Monitoring
Patient,Mostly engaged,Not motivated,Few mistakes,Patient,Clear-minded,Foggy mind,Patient,Clear-minded,Quick to anger,Patient,Patient,Enthusiastic,Challenging but good,Low mood,No energy at all,Indifferent,Always distracted,Not motivated,Mostly engaged,Needs Monitoring
Patient,Clear-minded,Patient,Easily distracted,Good stamina,Foggy mind,Easily distracted,Positive outlook,Forgetful,I recharge through entertainment,Drained,Drained,Challenging but good,Easily distracted,Indifferent,Challenging but good,Focused,Challenging but good,Patient,Drained,Needs Monitoring
Emotionally stable,Good focus,Quick to anger,Mostly engaged,Low mood,Mostly engaged,Self-aware,Challenging but good,Drained,Low mood,I recharge through entertainment,Always distracted,Always distracted,Easily distracted,Low mood,Refreshed,Sharp memory,Self-aware,Easily distracted,Invested,Needs Monitoring
In good physical condition,I recharge through entertainment,Always distracted,Easily distracted,Refreshed,Enthusiastic,Indifferent,Low mood,Low mood,Ready to go,I recharge through entertainment,Forgetful,Focused,No energy at all,Few mistakes,Emotionally stable,Foggy mind,Drained,I recharge through entertainment,Not motivated,Needs Monitoring
Invested,Clear-minded,Always distracted,Few mistakes,Good stamina,Drained,In good physical condition,Loses focus,Forgetful,Good focus,Easily distracted,Focused,Good focus,Easily distracted,Low mood,Indifferent,I recharge through entertainment,Clear-minded,Forgetful,Always distracted,Needs Monitoring
Forgetful,Easily distracted,Enthusiastic,Enthusiastic,I recharge through entertainment,Always distracted,No energy at all,Positive outlook,Low mood,Emotionally stable,Low mood,No energy at all,Positive outlook,Few mistakes,Challenging but good,Good focus,In good physical condition,Focused,In good physical condition,Quick to anger,Needs Monitoring
Refreshed,Patient,No energy at all,Foggy mind,Forgetful,Focused,Forgetful,Emotionally stable,Good stamina,Loses focus,Forgetful,I recharge through entertainment,Emotionally stable,Foggy mind,Emotionally stable,Enthusiastic,Drained,Challenging but good,Indifferent,No energy at all,Needs Monitoring
I recharge through entertainment,Not motivated,Not motivated,Low mood,Drained,Sharp memory,Refreshed,No energy at all,Quick to anger,In good physical condition,In good physical condition,Drained,Patient,No energy at all,Invested,Good focus,I recharge through entertainment,Emotionally stable,Always distracted,Ready to go,Needs Monitoring
Loses focus,In good physical condition,Loses focus,Quick to anger,I recharge through entertainment,Clear-minded,Low mood,Ready to go,Low mood,Enthusiastic,Not motivated,Foggy mind,Quick to anger,Quick to anger,Few mistakes,Mostly engaged,Good focus,Emotionally stable,Sharp memory,Invested,Needs Monitoring
Enthusiastic,Enthusiastic,Loses focus,Indifferent,Sharp memory,Clear-minded,Forgetful,Drained,Not motivated,In good physical condition,Quick to anger,Focused,Patient,Enthusiastic,In good physical condition,Low mood,Quick to anger,Drained,Challenging but good,Drained,Needs Monitoring
Loses focus,Sharp memory,Foggy mind,Loses focus,Enthusiastic,In good physical condition,Self-aware,Emotionally stable,Quick to anger,No energy at all,Good focus,Invested,Forgetful,Patient,In good physical condition,Indifferent,Few mistakes,Invested,Self-aware,Foggy mind,Needs Monitoring
Patient,Quick to anger,Patient,Enthusiastic,Loses focus,Focused,Sharp memory,Easily distracted,Drained,Forgetful,Challenging but good,Quick to anger,I recharge through entertainment,Refreshed,Invested,Always distracted,Ready to go,Refreshed,Positive outlook,Drained,Needs Monitoring
No energy at all,Refreshed,Challenging but good,Few mistakes,Good stamina,Quick to anger,I recharge through entertainment,Easily distracted,Loses focus,Enthusiastic,Patient,I recharge through entertainment,Quick to anger,Emotionally stable,Low mood,Forgetful,Enthusiastic,Enthusiastic,Foggy mind,Good focus,Needs Monitoring
Drained,Ready to go,Forgetful,Mostly engaged,Challenging but good,Good stamina,Invested,Not motivated,Enthusiastic,Good focus,Not motivated,Quick to anger,Good stamina,Mostly engaged,Foggy mind,Mostly engaged,In good physical condition,Not motivated,Refreshed,Loses focus,Needs Monitoring
Focused,Mostly engaged,Indifferent,Sharp memory,Easily distracted,Refreshed,Quick to anger,Enthusiastic,Clear-minded,Patient,Foggy mind,Not motivated,Always distracted,Low mood,I recharge through entertainment,Quick to anger,Easily distracted,Sharp memory,Indifferent,Ready to go,Needs Monitoring
Clear-minded,Enthusiastic,Low mood,Low mood,Clear-minded,Sharp memory,Loses focus,Low mood,No energy at all,No energy at all,Good stamina,Invested,Enthusiastic,Drained,Quick to anger,No energy at all,Refreshed,Ready to go,Drained,Clear-minded,Needs Monitoring
Mostly engaged,Clear-minded,Forgetful,No energy at all,Easily distracted,Few mistakes,Emotionally stable,In good physical condition,Always distracted,Easily distracted,Low mood,Focused,Self-aware,Challenging but good,Good focus,I recharge through entertainment,Easily distracted,Forgetful,Few mistakes,Not motivated,Needs Monitoring
Clear-minded,Indifferent,Low mood,Good focus,Refreshed,Positive outlook,Easily distracted,Indifferent,Sharp memory,In good physical condition,Indifferent,Loses focus,Low mood,Forgetful,Always distracted,Emotionally stable,Forgetful,In good physical condition,Ready to go,Mostly engaged,Needs Monitoring
Invested,Forgetful,Mostly engaged,Low mood,Positive outlook,Loses focus,I recharge through entertainment,Always distracted,Loses focus,Always distracted,Forgetful,Sharp memory,Few mistakes,Forgetful,Enthusiastic,No energy at all,Challenging but good,Few mistakes,Self-aware,Indifferent,Needs Monitoring
Quick to anger,Good stamina,Sharp memory,I recharge through entertainment,Easily distracted,Foggy mind,Indifferent,Good focus,Sharp memory,Easily distracted,Challenging but good,Easily distracted,Focused,Quick to anger,Always distracted,Easily distracted,Mostly engaged,Refreshed,Self-aware,Patient,Needs Monitoring
Mostly engaged,Enthusiastic,Quick to anger,Challenging but good,Patient,Always distracted,Forgetful,Challenging but good,Loses focus,Indifferent,Foggy mind,Mostly engaged,Patient,Few mistakes,Quick to anger,Mostly engaged,In good physical condition,Quick to anger,Self-aware,Challenging but good,Needs Monitoring
Always distracted,Good focus,Invested,Positive outlook,Focused,Drained,Low mood,Drained,No energy at all,Clear-minded,Ready to go,Ready to go,Enthusiastic,Not motivated,Indifferent,Mostly engaged,Drained,Low mood,No energy at all,Invested,Needs Monitoring
Loses focus,Good focus,Low mood,Enthusiastic,Foggy mind,Challenging but good,Sharp memory,Challenging but good,Drained,Mostly engaged,Mostly engaged,I recharge through entertainment,Not motivated,Always distracted,Low mood,Quick to anger,Easily distracted,Ready to go,Indifferent,Patient,Needs Monitoring
Focused,Focused,Quick to anger,Indifferent,Mostly engaged,Always distracted,Self-aware,Easily distracted,Refreshed,Sharp memory,In good physical condition,Foggy mind,Clear-minded,I recharge through entertainment,Quick to anger,I recharge through entertainment,Patient,Low mood,Quick to anger,I recharge through entertainment,Needs Monitoring
Easily distracted,Loses focus,Loses focus,Loses focus,Loses focus,Indifferent,Invested,Enthusiastic,Sharp memory,Ready to go,Self-aware,Emotionally stable,Positive outlook,Self-aware,Invested,Good focus,Always distracted,Easily distracted,In good physical condition,Good stamina,Needs Monitoring
Patient,Forgetful,Enthusiastic,Good stamina,Positive outlook,Sharp memory,Enthusiastic,Low mood,Positive outlook,Self-aware,Mostly engaged,Forgetful,Always distracted,Drained,Patient,Always distracted,Foggy mind,Positive outlook,Low mood,Foggy mind,Needs Monitoring
Indifferent,Loses focus,Quick to anger,Invested,Forgetful,Forgetful,Emotionally stable,Invested,Foggy mind,Low mood,Positive outlook,Few mistakes,Easily distracted,Enthusiastic,Few mistakes,Self-aware,I recharge through entertainment,Enthusiastic,Emotionally stable,Drained,Needs Monitoring
Enthusiastic,Quick to anger,Easily distracted,Focused,Easily distracted,Refreshed,Low mood,Challenging but good,In good physical condition,Foggy mind,Clear-minded,No energy at all,I recharge through entertainment,Self-aware,Loses focus,Low mood,Clear-minded,Indifferent,Clear-minded,Positive outlook,Needs Monitoring
Good stamina,Mostly engaged,Good focus,Indifferent,Quick to anger,Drained,In good physical condition,Drained,In good physical condition,Always distracted,Not motivated,Focused,Good stamina,Few mistakes,Easily distracted,Refreshed,Not motivated,Good focus,Emotionally stable,Few mistakes,Needs Monitoring
Quick to anger,Indifferent,Easily distracted,I recharge through entertainment,Drained,Not motivated,Few mistakes,Good stamina,Sharp memory,Good stamina,Patient,Enthusiastic,Sharp memory,Focused,Quick to anger,Patient,Indifferent,Enthusiastic,Quick to anger,No energy at all,Needs Monitoring
Quick to anger,Indifferent,Low mood,In good physical condition,Forgetful,Quick to anger,Not motivated,Enthusiastic,Foggy mind,Always distracted,Enthusiastic,Loses focus,Refreshed,Refreshed,Focused,Enthusiastic,I recharge through entertainment,Forgetful,Sharp memory,Enthusiastic,Needs Monitoring
Sharp memory,Positive outlook,In good physical condition,Few mistakes,No energy at all,Not motivated,Not motivated,Challenging but good,Easily distracted,Positive outlook,Always distracted,Indifferent,Positive outlook,Forgetful,Few mistakes,Low mood,Ready to go,Low mood,Self-aware,Low mood,Needs Monitoring
Mostly engaged,Drained,Positive outlook,Foggy mind,Low mood,Emotionally stable,Self-aware,Patient,Drained,Always distracted,Easily distracted,Positive outlook,Sharp memory,I recharge through entertainment,Ready to go,Quick to anger,Positive outlook,Clear-minded,Invested,Foggy mind,Needs Monitoring
Few mistakes,Mostly engaged,Invested,Sharp memory,Drained,Sharp memory,Quick to anger,Refreshed,Enthusiastic,No energy at all,Loses focus,Refreshed,Not motivated,Always distracted,Ready to go,Not motivated,Loses focus,Self-aware,Indifferent,Positive outlook,Needs Monitoring
Sharp memory,Forgetful,Always distracted,Enthusiastic,In good physical condition,Positive outlook,Patient,Mostly engaged,Ready to go,Forgetful,Focused,Always distracted,Quick to anger,Foggy mind,Challenging but good,Challenging but good,Loses focus,Enthusiastic,Not motivated,Clear-minded,Needs Monitoring
Loses focus,Emotionally stable,Drained,Ready to go,Drained,Clear-minded,Refreshed,Quick to anger,Invested,I recharge through entertainment,Not motivated,Patient,Indifferent,Invested,Ready to go,Quick to anger,Emotionally stable,Quick to anger,Clear-minded,Mostly engaged,Needs Monitoring
Self-aware,Few mistakes,Self-aware,Easily distracted,Positive outlook,Quick to anger,Mostly engaged,Good focus,Low mood,Quick to anger,Emotionally stable,Self-aware,Focused,Forgetful,Indifferent,Refreshed,Drained,Indifferent,Foggy mind,Enthusiastic,Needs Monitoring
No energy at all,Loses focus,Enthusiastic,Always distracted,Enthusiastic,Sharp memory,Focused,Forgetful,Loses focus,I recharge through entertainment,Clear-minded,Quick to anger,Refreshed,Always distracted,Easily distracted,Positive outlook,Mostly engaged,Forgetful,Not motivated,I recharge through entertainment,Needs Monitoring
Invested,Good stamina,Not motivated,Patient,Always distracted,Refreshed,Good focus,Loses focus,Forgetful,Patient,Mostly engaged,Focused,Not motivated,Not motivated,Good stamina,Few mistakes,Quick to anger,Easily distracted,Indifferent,Forgetful,Needs Monitoring
Loses focus,Focused,Always distracted,Low mood,Indifferent,Invested,Not motivated,Mostly engaged,Good focus,Invested,Drained,Focused,Not motivated,Forgetful,Easily distracted,Always distracted,Clear-minded,Not motivated,Indifferent,Few mistakes,At Risk
Indifferent,Loses focus,Few mistakes,Forgetful,Easily distracted,Forgetful,Enthusiastic,Easily distracted,Challenging but good,Ready to go,Indifferent,Loses focus,Low mood,Drained,Sharp memory,Low mood,Patient,Foggy mind,Ready to go,Always distracted,At Risk
Not motivated,Indifferent,Quick to anger,Foggy mind,Drained,Low mood,Ready to go,Loses focus,Foggy mind,Low mood,Low mood,Positive outlook,Loses focus,Easily distracted,Drained,Indifferent,Patient,Easily distracted,Low mood,Easily distracted,At Risk
