Do you feel mentally exhausted at work?,"After a day at work, do you find it hard to recover your energy?",Do you find that everything you do at work requires much effort?,Do you feel physically exhausted at work?,"When you get up in the morning, do you lack the energy to start a new day at work?",Do you want to be active at work but find it difficult to manage?,Do you quickly get tired when exerting yourself at work?,Do you feel mentally exhausted and drained at the end of your workday?,Do you struggle to find enthusiasm for your work?,Do you feel indifferent about your job?,Are you cynical about the impact your work has on others?,Do you have trouble staying focused at work?,Do you struggle to think clearly at work?,Are you forgetful and easily distracted at work?,Do you have trouble concentrating while working?,Do you make mistakes at work because your mind is on other things?,Do you feel unable to control your emotions at work?,Do you feel you no longer recognize yourself in your emotional reactions at work?,Do you become irritable when things don't go your way at work?,Do you feel sad or upset at work without knowing why?,Classification
Not motivated,Invested,Low mood,Challenging but good,Low mood,Forgetful,Indifferent,Self-aware,No energy at all,Not motivated,Clear-minded,Few mistakes,Always distracted,Good focus,Not motivated,Positive outlook,Challenging but good,Always distracted,Rarely feel tired,Loses focus,At Risk
No energy at all,Self-aware,Rarely feel tired,Foggy mind,Quick to anger,Foggy mind,Refreshed,Always distracted,In good physical condition,Forgetful,Focused,Positive outlook,Easily distracted,No energy at all,Patient,Invested,Indifferent,Indifferent,Low mood,Forgetful,At Risk
Invested,Easily distracted,Quick to anger,Enthusiastic,Loses focus,Quick to anger,No energy at all,Drained,Always distracted,Rarely feel tired,Loses focus,Loses focus,Patient,Patient,Positive outlook,No energy at all,Always distracted,Mostly engaged,Loses focus,Patient,At Risk
Not motivated,Rarely feel tired,Self-aware,Drained,No energy at all,Always distracted,Easily distracted,Foggy mind,Quick to anger,Indifferent,Few mistakes,Rarely feel tired,I recharge through entertainment,Loses focus,Not motivated,Quick to anger,Always distracted,Low mood,Mostly engaged,No energy at all,At Risk
Always distracted,Foggy mind,Drained,Always distracted,Drained,Always distracted,Low mood,Loses focus,In good physical condition,I recharge through entertainment,I recharge through entertainment,Self-aware,Always distracted,Quick to anger,Clear-minded,Rarely feel tired,Easily distracted,In good physical condition,Always distracted,Foggy mind,At Risk
Low mood,Low mood,Drained,Low mood,Quick to anger,Rarely feel tired,Not motivated,Loses focus,Easily distracted,Easily distracted,Not motivated,Always distracted,Drained,Drained,Rarely feel tired,Foggy mind,Quick to anger,Easily distracted,Not motivated,Always distracted,At Risk
Foggy mind,Not motivated,Quick to anger,Low mood,No energy at all,Patient,Mostly engaged,Quick to anger,Clear-minded,No energy at all,Challenging but good,Self-aware,Low mood,Good focus,Quick to anger,Low mood,Good focus,Forgetful,Indifferent,Rarely feel tired,At Risk
Low mood,Quick to anger,No energy at all,Indifferent,Low mood,Foggy mind,Loses focus,Easily distracted,Loses focus,Loses focus,Forgetful,Foggy mind,Quick to anger,No energy at all,Quick to anger,Rarely feel tired,Rarely feel tired,Easily distracted,Foggy mind,No energy at all,At Risk
Indifferent,Quick to anger,Drained,Loses focus,Challenging but good,Not motivated,Always distracted,Drained,Always distracted,No energy at all,Low mood,Not motivated,No energy at all,Not motivated,Always distracted,Foggy mind,No energy at all,Easily distracted,Rarely feel tired,Always distracted,At Risk
Good stamina,Good stamina,Loses focus,Indifferent,Enthusiastic,Foggy mind,Focused,I recharge through entertainment,Foggy mind,Positive outlook,Forgetful,Forgetful,Rarely feel tired,Forgetful,Emotionally stable,Low mood,Always distracted,Rarely feel tired,Low mood,Rarely feel tired,At Risk
Invested,Low mood,No energy at all,Easily distracted,Patient,Invested,Loses focus,Not motivated,Clear-minded,Indifferent,No energy at all,Forgetful,Indifferent,Indifferent,Foggy mind,Indifferent,Quick to anger,I recharge through entertainment,Quick to anger,Rarely feel tired,At Risk
Rarely feel tired,Loses focus,Loses focus,Loses focus,Few mistakes,Self-aware,Emotionally stable,Good stamina,Foggy mind,Forgetful,Clear-minded,Low mood,Rarely feel tired,Good focus,Quick to anger,Mostly engaged,In good physical condition,Good focus,Always distracted,No energy at all,At Risk
Self-aware,Good focus,Indifferent,Emotionally stable,Easily distracted,Rarely feel tired,Drained,Enthusiastic,Rarely feel tired,Forgetful,Focused,No energy at all,Clear-minded,Quick to anger,Foggy mind,No energy at all,Easily distracted,Self-aware,Focused,Quick to anger,At Risk
Loses focus,Quick to anger,Not motivated,Easily distracted,Quick to anger,Drained,Drained,Rarely feel tired,Positive outlook,Drained,Indifferent,Mostly engaged,Indifferent,Not motivated,Low mood,Quick to anger,Quick to anger,Not motivated,Not motivated,Quick to anger,At Risk
Good focus,Quick to anger,Self-aware,Easily distracted,Loses focus,Rarely feel tired,Always distracted,Mostly engaged,Easily distracted,Mostly engaged,Clear-minded,Loses focus,Not motivated,Few mistakes,No energy at all,Foggy mind,Invested,No energy at all,Good stamina,Self-aware,At Risk
Low mood,Loses focus,Forgetful,Easily distracted,Indifferent,Forgetful,No energy at all,Indifferent,Easily distracted,No energy at all,Indifferent,Easily distracted,Indifferent,Quick to anger,In good physical condition,Indifferent,Loses focus,Indifferent,Enthusiastic,Indifferent,At Risk
Loses focus,Foggy mind,Indifferent,Loses focus,Not motivated,Foggy mind,Quick to anger,Indifferent,Indifferent,Easily distracted,Quick to anger,Loses focus,Drained,Drained,No energy at all,Drained,Indifferent,Low mood,Always distracted,Always distracted,At Risk
Forgetful,Not motivated,Drained,Quick to anger,Drained,Always distracted,Loses focus,Sharp memory,Good stamina,Easily distracted,Foggy mind,Positive outlook,Drained,No energy at all,Clear-minded,I recharge through entertainment,Challenging but good,Enthusiastic,Drained,Foggy mind,At Risk
Easily distracted,Easily distracted,Always distracted,Forgetful,Rarely feel tired,Forgetful,Not motivated,Loses focus,Indifferent,Good focus,Emotionally stable,Indifferent,Easily distracted,No energy at all,Foggy mind,Low mood,Not motivated,Indifferent,Always distracted,Drained,At Risk
Low mood,No energy at all,Indifferent,Clear-minded,Good focus,Drained,Indifferent,Rarely feel tired,Emotionally stable,Forgetful,Emotionally stable,Drained,Easily distracted,Loses focus,Refreshed,Not motivated,Not motivated,Always distracted,Few mistakes,Few mistakes,At Risk
Quick to anger,No energy at all,Quick to anger,Drained,Rarely feel tired,Indifferent,Quick to anger,Loses focus,Easily distracted,No energy at all,Low mood,No energy at all,Forgetful,Quick to anger,Loses focus,Rarely feel tired,Easily distracted,Low mood,Always distracted,Easily distracted,At Risk
No energy at all,Quick to anger,Always distracted,Forgetful,Quick to anger,Rarely feel tired,Forgetful,Foggy mind,Quick to anger,Not motivated,Loses focus,No energy at all,Rarely feel tired,Drained,Quick to anger,Loses focus,Loses focus,Loses focus,Drained,Forgetful,At Risk
Good stamina,Foggy mind,Easily distracted,Forgetful,Drained,Indifferent,Refreshed,Invested,Forgetful,Forgetful,Low mood,Indifferent,Forgetful,Not motivated,Low mood,Few mistakes,In good physical condition,In good physical condition,Drained,Positive outlook,At Risk
Easily distracted,Challenging but good,Clear-minded,Indifferent,Ready to go,Rarely feel tired,Quick to anger,Always distracted,Quick to anger,Refreshed,Always distracted,Foggy mind,Easily distracted,Indifferent,Loses focus,Low mood,No energy at all,Foggy mind,Indifferent,Patient,At Risk
Not motivated,Not motivated,Mostly engaged,Foggy mind,Drained,Self-aware,Invested,Focused,Quick to anger,Forgetful,Loses focus,Quick to anger,Easily distracted,Ready to go,Easily distracted,Ready to go,Low mood,Foggy mind,No energy at all,Always distracted,At Risk
Not motivated,No energy at all,Low mood,No energy at all,Loses focus,Foggy mind,Not motivated,Drained,Rarely feel tired,Not motivated,Not motivated,Loses focus,Drained,Not motivated,In good physical condition,Indifferent,Indifferent,No energy at all,Foggy mind,Low mood,At Risk
Indifferent,Self-aware,No energy at all,Not motivated,Foggy mind,Always distracted,Refreshed,Easily distracted,Always distracted,Foggy mind,Forgetful,Loses focus,Forgetful,Indifferent,Clear-minded,Quick to anger,Quick to anger,Always distracted,Foggy mind,Quick to anger,At Risk
Drained,Enthusiastic,Easily distracted,Forgetful,Emotionally stable,Self-aware,Drained,Easily distracted,Invested,No energy at all,Foggy mind,No energy at all,Low mood,Drained,Easily distracted,Positive outlook,No energy at all,Rarely feel tired,Drained,Rarely feel tired,At Risk
Quick to anger,Patient,Foggy mind,Always distracted,In good physical condition,Drained,Foggy mind,Loses focus,Quick to anger,No energy at all,Focused,Low mood,Foggy mind,Ready to go,Foggy mind,Easily distracted,Easily distracted,Rarely feel tired,Easily distracted,Low mood,At Risk
Clear-minded,Ready to go,No energy at all,Not motivated,Always distracted,Enthusiastic,In good physical condition,Quick to anger,Good focus,Low mood,Easily distracted,Good stamina,Rarely feel tired,Loses focus,Loses focus,Loses focus,Forgetful,Quick to anger,Low mood,Indifferent,At Risk
Loses focus,Not motivated,Forgetful,Emotionally stable,Clear-minded,Easily distracted,Always distracted,Clear-minded,Easily distracted,Always distracted,Foggy mind,Quick to anger,Self-aware,Rarely feel tired,Ready to go,Forgetful,Quick to anger,Good focus,Positive outlook,Drained,At Risk
Low mood,Loses focus,Indifferent,Not motivated,Forgetful,Quick to anger,Foggy mind,Low mood,Forgetful,Always distracted,Good stamina,Focused,Invested,Low mood,Easily distracted,Loses focus,Always distracted,Easily distracted,Always distracted,No energy at all,At Risk
Forgetful,Patient,Not motivated,Quick to anger,Not motivated,Rarely feel tired,No energy at all,Rarely feel tired,Quick to anger,Low mood,Not motivated,Quick to anger,No energy at all,Always distracted,Not motivated,Low mood,Low mood,Sharp memory,Rarely feel tired,Low mood,At Risk
Easily distracted,Low mood,Loses focus,Rarely feel tired,Good stamina,Rarely feel tired,Drained,Not motivated,Easily distracted,Loses focus,Forgetful,Quick to anger,Quick to anger,Drained,Drained,No energy at all,No energy at all,Low mood,Loses focus,Easily distracted,At Risk
Foggy mind,Easily distracted,Loses focus,Low mood,Always distracted,Easily distracted,Easily distracted,Not motivated,Rarely feel tired,Forgetful,No energy at all,Forgetful,Forgetful,Not motivated,Loses focus,Easily distracted,Patient,Drained,Foggy mind,Drained,At Risk
Forgetful,Rarely feel tired,Sharp memory,Low mood,Invested,Forgetful,In good physical condition,Quick to anger,Patient,Forgetful,Not motivated,Low mood,Invested,Focused,Ready to go,Mostly engaged,Always distracted,Few mistakes,Low mood,Rarely feel tired,At Risk
Not motivated,Loses focus,Indifferent,Indifferent,Easily distracted,Quick to anger,Always distracted,Indifferent,Loses focus,No energy at all,Focused,Quick to anger,Not motivated,Low mood,Forgetful,No energy at all,Emotionally stable,Forgetful,Not motivated,Not motivated,At Risk
In good physical condition,Enthusiastic,Always distracted,Not motivated,Patient,Few mistakes,Indifferent,I recharge through entertainment,Self-aware,Not motivated,Challenging but good,Ready to go,Forgetful,Forgetful,Always distracted,Forgetful,Quick to anger,Foggy mind,Easily distracted,Foggy mind,At Risk
Loses focus,No energy at all,Quick to anger,Quick to anger,Clear-minded,Always distracted,Indifferent,Forgetful,Low mood,Always distracted,Forgetful,Drained,Forgetful,Low mood,Indifferent,In good physical condition,Easily distracted,Indifferent,Indifferent,Sharp memory,At Risk
Easily distracted,Emotionally stable,Good stamina,Patient,No energy at all,Sharp memory,Loses focus,Loses focus,Forgetful,Quick to anger,Foggy mind,Few mistakes,Low mood,No energy at all,Emotionally stable,Invested,Always distracted,In good physical condition,Forgetful,Always distracted,At Risk
Not motivated,Loses focus,Loses focus,Forgetful,Low mood,Forgetful,Indifferent,Forgetful,No energy at all,Drained,Indifferent,Rarely feel tired,No energy at all,Loses focus,Always distracted,Not motivated,Foggy mind,Indifferent,Foggy mind,Not motivated,At Risk
Not motivated,Indifferent,Rarely feel tired,Foggy mind,Loses focus,Loses focus,Loses focus,Not motivated,Indifferent,Loses focus,Always distracted,No energy at all,Quick to anger,Quick to anger,Rarely feel tired,Always distracted,No energy at all,In good physical condition,Loses focus,Not motivated,At Risk
Drained,Drained,Rarely feel tired,Challenging but good,Always distracted,Forgetful,Loses focus,Forgetful,Loses focus,Low mood,Mostly engaged,Good stamina,No energy at all,Emotionally stable,Emotionally stable,Challenging but good,Low mood,Low mood,Invested,Drained,At Risk
I recharge through entertainment,Loses focus,Always distracted,In good physical condition,Emotionally stable,Always distracted,Always distracted,Not motivated,Low mood,Invested,Good focus,Emotionally stable,Quick to anger,Drained,Positive outlook,Loses focus,Indifferent,Foggy mind,Low mood,Foggy mind,At Risk
Sharp memory,Self-aware,Low mood,No energy at all,No energy at all,Ready to go,Mostly engaged,Low mood,Quick to anger,In good physical condition,Rarely feel tired,No energy at all,Positive outlook,Sharp memory,Drained,Positive outlook,Always distracted,Quick to anger,Low mood,Indifferent,At Risk
Forgetful,Quick to anger,No energy at all,No energy at all,No energy at all,Rarely feel tired,Always distracted,Indifferent,Forgetful,Drained,Low mood,Easily distracted,Rarely feel tired,Invested,Refreshed,Easily distracted,Easily distracted,Good stamina,Rarely feel tired,Drained,At Risk
In good physical condition,Not motivated,Foggy mind,Drained,Ready to go,Refreshed,No energy at all,Quick to anger,Focused,Forgetful,Not motivated,Drained,Mostly engaged,Clear-minded,Forgetful,Sharp memory,Drained,Mostly engaged,Drained,Rarely feel tired,At Risk
Drained,Easily distracted,Foggy mind,Not motivated,No energy at all,Always distracted,Not motivated,Foggy mind,Not motivated,Drained,Rarely feel tired,Easily distracted,Low mood,Not motivated,Drained,Forgetful,Drained,Quick to anger,Easily distracted,No energy at all,At Risk
Foggy mind,Enthusiastic,No energy at all,Forgetful,No energy at all,Mostly engaged,Quick to anger,Loses focus,Indifferent,No energy at all,Rarely feel tired,Easily distracted,Not motivated,Ready to go,Focused,Always distracted,Loses focus,No energy at all,Drained,Always distracted,At Risk
Indifferent,Easily distracted,Drained,No energy at all,Easily distracted,Foggy mind,Self-aware,Self-aware,Not motivated,No energy at all,Forgetful,Forgetful,Always distracted,Challenging but good,Good focus,Challenging but good,Forgetful,Mostly engaged,Patient,Good stamina,At Risk
Loses focus,Quick to anger,Not motivated,Focused,Challenging but good,Loses focus,Sharp memory,Forgetful,Easily distracted,Indifferent,Always distracted,Forgetful,Low mood,Enthusiastic,No energy at all,Forgetful,Good stamina,Loses focus,Mostly engaged,Emotionally stable,At Risk
Foggy mind,Always distracted,Always distracted,Loses focus,Loses focus,Self-aware,Quick to anger,Always distracted,Always distracted,Quick to anger,No energy at all,Drained,No energy at all,Always distracted,Good stamina,Loses focus,Forgetful,Forgetful,Always distracted,Forgetful,At Risk
Low mood,Foggy mind,Always distracted,Drained,Rarely feel tired,Loses focus,Rarely feel tired,Easily distracted,Quick to anger,Always distracted,Always distracted,Easily distracted,Foggy mind,Foggy mind,Indifferent,Forgetful,Easily distracted,Foggy mind,Drained,Not motivated,At Risk
Always distracted,Forgetful,Low mood,Drained,Loses focus,Indifferent,Indifferent,Forgetful,Invested,Foggy mind,Not motivated,Rarely feel tired,Loses focus,Clear-minded,Low mood,Forgetful,Always distracted,Indifferent,Foggy mind,Forgetful,At Risk
Good stamina,Not motivated,Not motivated,Drained,Always distracted,In good physical condition,Good stamina,Always distracted,Loses focus,Loses focus,Invested,Emotionally stable,Indifferent,Foggy mind,Focused,Forgetful,Forgetful,Refreshed,Mostly engaged,Rarely feel tired,At Risk
Quick to anger,Always distracted,Self-aware,Easily distracted,Drained,Not motivated,Patient,Quick to anger,Easily distracted,Drained,Low mood,Forgetful,Low mood,Not motivated,Quick to anger,Drained,Foggy mind,No energy at all,No energy at all,No energy at all,At Risk
Patient,Few mistakes,Always distracted,Good stamina,Not motivated,Loses focus,Foggy mind,Not motivated,Drained,Ready to go,Rarely feel tired,Rarely feel tired,Mostly engaged,Rarely feel tired,Foggy mind,Ready to go,Indifferent,Not motivated,Always distracted,Emotionally stable,At Risk
Easily distracted,Indifferent,Good stamina,Clear-minded,Easily distracted,Rarely feel tired,Clear-minded,Emotionally stable,Not motivated,Forgetful,Low mood,Easily distracted,Mostly engaged,Good stamina,Sharp memory,Challenging but good,Indifferent,Not motivated,Enthusiastic,Loses focus,At Risk
Loses focus,Quick to anger,Indifferent,No energy at all,No energy at all,Quick to anger,No energy at all,Drained,No energy at all,Focused,Easily distracted,Ready to go,In good physical condition,Mostly engaged,Foggy mind,Self-aware,Loses focus,Easily distracted,Always distracted,Always distracted,At Risk
Low mood,Not motivated,Rarely feel tired,Loses focus,I recharge through entertainment,I recharge through entertainment,Enthusiastic,Rarely feel tired,Rarely feel tired,Foggy mind,Invested,Always distracted,Always distracted,Emotionally stable,Refreshed,In good physical condition,Easily distracted,Indifferent,Rarely feel tired,Indifferent,At Risk
No energy at all,Low mood,Quick to anger,Not motivated,Indifferent,Easily distracted,Quick to anger,Quick to anger,Indifferent,Drained,Quick to anger,Drained,Drained,Loses focus,No energy at all,Drained,Quick to anger,Foggy mind,Quick to anger,Drained,At Risk
Quick to anger,Drained,I recharge through entertainment,Low mood,Good focus,I recharge through entertainment,Not motivated,Not motivated,Loses focus,Loses focus,In good physical condition,Low mood,Rarely feel tired,Few mistakes,Forgetful,Quick to anger,No energy at all,Drained,Not motivated,Easily distracted,At Risk
Foggy mind,Clear-minded,Invested,Not motivated,Ready to go,Forgetful,Foggy mind,Sharp memory,Good focus,Drained,Self-aware,Foggy mind,Enthusiastic,Foggy mind,Indifferent,Easily distracted,Drained,Indifferent,Drained,No energy at all,At Risk
Focused,Loses focus,Foggy mind,Forgetful,Drained,Drained,Self-aware,Clear-minded,Loses focus,Indifferent,Low mood,Enthusiastic,Always distracted,Loses focus,Drained,Emotionally stable,Not motivated,Easily distracted,Easily distracted,Few mistakes,At Risk
Patient,Not motivated,Not motivated,Indifferent,Invested,Loses focus,Forgetful,Clear-minded,Easily distracted,Good stamina,Foggy mind,Drained,Not motivated,Always distracted,Low mood,Quick to anger,Rarely feel tired,Emotionally stable,I recharge through entertainment,Focused,At Risk
Drained,Good focus,Enthusiastic,Low mood,No energy at all,Clear-minded,Good stamina,Good stamina,Few mistakes,Self-aware,Easily distracted,Always distracted,I recharge through entertainment,Drained,Refreshed,Not motivated,Loses focus,Foggy mind,Forgetful,Not motivated,At Risk
Foggy mind,Easily distracted,Rarely feel tired,Always distracted,Not motivated,Low mood,No energy at all,No energy at all,Indifferent,No energy at all,Quick to anger,Easily distracted,Quick to anger,Clear-minded,Easily distracted,No energy at all,Always distracted,No energy at all,Loses focus,Forgetful,At Risk
Always distracted,Drained,Quick to anger,Low mood,Forgetful,Drained,Quick to anger,Few mistakes,Always distracted,Indifferent,No energy at all,Loses focus,Forgetful,No energy at all,Forgetful,Loses focus,Quick to anger,Quick to anger,Quick to anger,Not motivated,At Risk
Forgetful,Low mood,Indifferent,Quick to anger,Low mood,Loses focus,Indifferent,Indifferent,Not motivated,Not motivated,Indifferent,Forgetful,Loses focus,Rarely feel tired,Emotionally stable,Quick to anger,Foggy mind,No energy at all,Easily distracted,Easily distracted,At Risk
Rarely feel tired,Not motivated,Sharp memory,Not motivated,Drained,No energy at all,Easily distracted,Sharp memory,Rarely feel tired,Rarely feel tired,In good physical condition,Few mistakes,Patient,Easily distracted,Mostly engaged,Loses focus,Low mood,Always distracted,Forgetful,Rarely feel tired,At Risk
Easily distracted,Rarely feel tired,Clear-minded,Drained,Low mood,Drained,No energy at all,Indifferent,Drained,Not motivated,No energy at all,Forgetful,Loses focus,Not motivated,Rarely feel tired,Refreshed,Indifferent,Easily distracted,Rarely feel tired,Foggy mind,At Risk
No energy at all,Easily distracted,Always distracted,Low mood,Indifferent,No energy at all,No energy at all,Mostly engaged,No energy at all,Clear-minded,Challenging but good,Forgetful,Not motivated,Challenging but good,Clear-minded,Indifferent,Indifferent,Drained,Quick to anger,Easily distracted,At Risk
Foggy mind,Foggy mind,Forgetful,Not motivated,Forgetful,Challenging but good,Focused,Emotionally stable,Loses focus,Easily distracted,Drained,Quick to anger,Challenging but good,Rarely feel tired,Easily distracted,Drained,Quick to anger,Sharp memory,Always distracted,Easily distracted,At Risk
Quick to anger,Clear-minded,Enthusiastic,Quick to anger,Not motivated,Positive outlook,Self-aware,Indifferent,Drained,In good physical condition,No energy at all,Foggy mind,Quick to anger,Few mistakes,Drained,Refreshed,Challenging but good,Forgetful,I recharge through entertainment,Not motivated,At Risk
Not motivated,Quick to anger,Low mood,Self-aware,Easily distracted,Rarely feel tired,Sharp memory,Drained,No energy at all,No energy at all,Always distracted,Forgetful,Forgetful,Challenging but good,Not motivated,Quick to anger,Refreshed,Patient,No energy at all,Self-aware,At Risk
Quick to anger,Loses focus,No energy at all,No energy at all,Forgetful,Always distracted,Easily distracted,Always distracted,Low mood,Forgetful,No energy at all,No energy at all,Always distracted,Loses focus,Quick to anger,Quick to anger,Ready to go,Always distracted,Low mood,Forgetful,At Risk
Low mood,Few mistakes,Good stamina,Quick to anger,Emotionally stable,Drained,Quick to anger,Drained,Indifferent,Drained,Rarely feel tired,Always distracted,Not motivated,Always distracted,Not motivated,Easily distracted,Easily distracted,Forgetful,Foggy mind,Good stamina,At Risk
Good focus,Forgetful,Indifferent,Low mood,Loses focus,Easily distracted,Good focus,Self-aware,I recharge through entertainment,Quick to anger,Always distracted,Loses focus,Not motivated,No energy at all,Self-aware,Not motivated,Drained,Forgetful,Easily distracted,Few mistakes,At Risk
Forgetful,Always distracted,Good focus,Focused,No energy at all,Good stamina,Not motivated,Loses focus,Indifferent,Low mood,Rarely feel tired,Not motivated,Easily distracted,Loses focus,Forgetful,Emotionally stable,Quick to anger,Always distracted,Drained,Drained,At Risk
Foggy mind,Enthusiastic,Foggy mind,Always distracted,Not motivated,Foggy mind,Always distracted,Rarely feel tired,Rarely feel tired,Indifferent,Sharp memory,Forgetful,Loses focus,Enthusiastic,Drained,Mostly engaged,Indifferent,In good physical condition,Few mistakes,Quick to anger,At Risk
Not motivated,Rarely feel tired,I recharge through entertainment,Not motivated,Self-aware,Refreshed,Good focus,Low mood,Low mood,Good focus,Indifferent,Ready to go,Not motivated,Quick to anger,Good stamina,Few mistakes,No energy at all,Positive outlook,Drained,Drained,At Risk
Foggy mind,Foggy mind,Easily distracted,Quick to anger,No energy at all,Rarely feel tired,Indifferent,Quick to anger,Indifferent,Forgetful,Rarely feel tired,No energy at all,Easily distracted,Forgetful,Easily distracted,Not motivated,Loses focus,Easily distracted,Few mistakes,Mostly engaged,At Risk
Clear-minded,Emotionally stable,Emotionally stable,Quick to anger,Loses focus,Sharp memory,Not motivated,Foggy mind,No energy at all,Quick to anger,Not motivated,Indifferent,Refreshed,Self-aware,No energy at all,Clear-minded,In good physical condition,In good physical condition,Loses focus,Indifferent,At Risk
Easily distracted,Always distracted,Refreshed,Quick to anger,Refreshed,Foggy mind,Easily distracted,Self-aware,Not motivated,Emotionally stable,Patient,Drained,Good focus,Forgetful,Loses focus,Rarely feel tired,Good stamina,Foggy mind,Emotionally stable,Refreshed,At Risk
Loses focus,I recharge through entertainment,Rarely feel tired,Always distracted,No energy at all,Good focus,No energy at all,Loses focus,Not motivated,Self-aware,Loses focus,Indifferent,Positive outlook,Indifferent,Indifferent,Few mistakes,I recharge through entertainment,Low mood,Always distracted,Quick to anger,At Risk
Indifferent,Forgetful,Quick to anger,Enthusiastic,Foggy mind,Not motivated,Good stamina,In good physical condition,Indifferent,Easily distracted,Loses focus,Foggy mind,Rarely feel tired,No energy at all,No energy at all,No energy at all,Loses focus,Indifferent,Low mood,Drained,At Risk
Always distracted,Not motivated,Loses focus,Always distracted,Forgetful,Always distracted,Forgetful,Loses focus,Indifferent,Indifferent,Refreshed,Forgetful,Forgetful,Quick to anger,Foggy mind,Low mood,Foggy mind,Easily distracted,Drained,Always distracted,At Risk
In good physical condition,Good focus,Positive outlook,Drained,Mostly engaged,Rarely feel tired,Foggy mind,Sharp memory,Easily distracted,Indifferent,Forgetful,Rarely feel tired,Foggy mind,Enthusiastic,Not motivated,Emotionally stable,Low mood,Self-aware,Quick to anger,Easily distracted,At Risk
Clear-minded,Always distracted,Good stamina,Loses focus,Low mood,Emotionally stable,Quick to anger,Always distracted,Few mistakes,Challenging but good,Drained,Quick to anger,In good physical condition,Good stamina,Good stamina,Forgetful,No energy at all,I recharge through entertainment,Forgetful,Drained,At Risk
Foggy mind,Emotionally stable,Always distracted,Drained,Foggy mind,Forgetful,Loses focus,Rarely feel tired,Enthusiastic,Low mood,Foggy mind,No energy at all,Foggy mind,Easily distracted,Not motivated,Drained,Rarely feel tired,Good focus,Quick to anger,Indifferent,At Risk
Foggy mind,Quick to anger,Loses focus,Drained,Not motivated,Always distracted,Rarely feel tired,Indifferent,Rarely feel tired,Forgetful,Not motivated,Drained,Indifferent,Easily distracted,Loses focus,Indifferent,Loses focus,Low mood,Indifferent,Indifferent,At Risk
Clear-minded,Easily distracted,Quick to anger,Good stamina,Self-aware,Foggy mind,Indifferent,Quick to anger,Low mood,Low mood,Always distracted,Foggy mind,Quick to anger,Rarely feel tired,Drained,Low mood,Emotionally stable,Easily distracted,In good physical condition,Self-aware,At Risk
Foggy mind,Quick to anger,Indifferent,Loses focus,No energy at all,Always distracted,Rarely feel tired,Indifferent,Low mood,Easily distracted,Easily distracted,No energy at all,Foggy mind,Indifferent,Forgetful,Quick to anger,Positive outlook,Always distracted,Always distracted,Low mood,At Risk
Quick to anger,Indifferent,Always distracted,Forgetful,Forgetful,Quick to anger,Low mood,Invested,Not motivated,Forgetful,Easily distracted,Loses focus,Low mood,Rarely feel tired,Forgetful,Indifferent,Low mood,Forgetful,Mostly engaged,Drained,At Risk
Forgetful,Drained,Always distracted,Quick to anger,Quick to anger,Quick to anger,Easily distracted,Rarely feel tired,Easily distracted,Easily distracted,Always distracted,Always distracted,Always distracted,Low mood,Indifferent,Always distracted,No energy at all,Indifferent,Forgetful,Foggy mind,At Risk
Indifferent,Drained,Not motivated,Rarely feel tired,Quick to anger,Not motivated,Foggy mind,Always distracted,Easily distracted,Rarely feel tired,Always distracted,Few mistakes,Quick to anger,Low mood,Quick to anger,Positive outlook,No energy at all,Always distracted,Always distracted,Easily distracted,At Risk
Foggy mind,Clear-minded,Foggy mind,Loses focus,Rarely feel tired,Patient,In good physical condition,Not motivated,Quick to anger,Forgetful,Rarely feel tired,Self-aware,Indifferent,Self-aware,Easily distracted,In good physical condition,Good focus,Forgetful,Emotionally stable,Patient,At Risk
No energy at all,Always distracted,Foggy mind,Rarely feel tired,Indifferent,Clear-minded,Not motivated,Not motivated,Foggy mind,Drained,Forgetful,Indifferent,Low mood,Low mood,Quick to anger,Invested,Drained,Quick to anger,Clear-minded,Easily distracted,At Risk
Indifferent,Mostly engaged,Sharp memory,Drained,Good stamina,Rarely feel tired,Low mood,Rarely feel tired,Foggy mind,Sharp memory,Easily distracted,Good focus,Quick to anger,Always distracted,No energy at all,Rarely feel tired,Quick to anger,Foggy mind,Low mood,Clear-minded,At Risk
Rarely feel tired,Good stamina,Loses focus,Always distracted,Not motivated,Drained,Drained,Drained,Ready to go,Easily distracted,Refreshed,No energy at all,Refreshed,I recharge through entertainment,Always distracted,Indifferent,Good focus,In good physical condition,Forgetful,Not motivated,At Risk
Emotionally stable,Emotionally stable,Not motivated,Forgetful,In good physical condition,Not motivated,Quick to anger,Easily distracted,Good stamina,Easily distracted,Good stamina,Patient,Forgetful,Few mistakes,Forgetful,Quick to anger,Foggy mind,Quick to anger,Loses focus,Not motivated,At Risk
Always distracted,Easily distracted,Indifferent,Quick to anger,Good focus,Drained,Ready to go,Positive outlook,No energy at all,Loses focus,Always distracted,Low mood,Self-aware,Forgetful,Self-aware,No energy at all,Foggy mind,Invested,Challenging but good,Ready to go,At Risk
Patient,Foggy mind,Easily distracted,In good physical condition,No energy at all,Rarely feel tired,Easily distracted,No energy at all,Foggy mind,Easily distracted,Forgetful,Always distracted,I recharge through entertainment,In good physical condition,Foggy mind,Indifferent,No energy at all,Emotionally stable,In good physical condition,Challenging but good,At Risk
